device,modulation,rep,cfo_hz,dc_i,dc_q,dc_magnitude,amp_mean,amp_std,amp_skew,amp_kurt,rms,amp_max
DEV02,BPSK,R2,314.532,0.0002,-0.0002,0.0003,0.032,0.0112,-0.4482,-0.398,0.0339,0.052915528416633606
DEV02,BPSK,R3,478.2614,0.0002,0.0,0.0002,0.0317,0.0122,-0.9496,-0.0124,0.0339,0.04892173036932945
DEV02,BPSK,R4,773.4658,-0.0,0.0,0.0,0.0322,0.0114,-0.5474,-0.2337,0.0341,0.05322406813502312
DEV02,BPSK,R5,682.4631,0.0,0.0001,0.0001,0.0313,0.0135,-0.5331,-0.6416,0.0341,0.05244766175746918
DEV02,GFSK,R1,13999.5527,0.0,-0.0001,0.0001,0.0316,0.0006,-0.0602,-0.4613,0.0316,0.0338781364262104
DEV02,GFSK,R2,1831.1755,0.0002,-0.0,0.0002,0.0317,0.0004,0.0009,-0.0115,0.0317,0.0336015485227108
DEV02,GFSK,R3,-8071.5923,-0.0001,0.0002,0.0002,0.0313,0.0007,-0.0664,-0.3438,0.0313,0.03397204354405403
DEV02,GFSK,R4,22498.2891,0.0001,-0.0001,0.0001,0.0314,0.0007,-0.069,-0.4274,0.0314,0.03392389416694641
DEV02,GFSK,R5,13788.0098,-0.0,0.0001,0.0001,0.0339,0.0007,-0.3829,11.9825,0.0339,0.037330228835344315
DEV02,OOK,R1,797.0968,0.0001,0.0001,0.0001,0.0008,0.0003,0.1972,-0.1868,0.0009,0.002585441106930375
DEV02,OOK,R2,891.9723,-0.0003,-0.0,0.0003,0.0009,0.0004,0.1822,-0.2787,0.001,0.002654407871887088
DEV02,OOK,R3,697.6067,-0.0001,0.0001,0.0001,0.0009,0.0003,0.1932,-0.1812,0.0009,0.0025478836614638567
DEV02,OOK,R4,722.9579,-0.0002,0.0001,0.0002,0.0009,0.0004,0.2235,-0.2039,0.0009,0.002900382038205862
DEV02,OOK,R5,600.5825,0.0,-0.0002,0.0002,0.0009,0.0004,0.2194,-0.1986,0.0009,0.002585621317848563
DEV02,QPSK,R1,-15166.6572,-0.0001,0.0002,0.0002,0.032,0.011,-1.1529,-0.002,0.0338,0.04423651099205017
DEV02,QPSK,R2,853.906,-0.0,-0.0002,0.0002,0.0339,0.0051,-0.3155,-1.0159,0.0343,0.04248115047812462
DEV02,QPSK,R3,-29219.4941,-0.0001,-0.0001,0.0002,0.034,0.0028,-0.43,-0.9484,0.0341,0.03917693346738815
DEV02,QPSK,R4,-41820.6875,0.0,0.0,0.0,0.0325,0.0084,-1.1355,0.9579,0.0335,0.04327782243490219
DEV02,QPSK,R5,13038.124,0.0003,-0.0002,0.0004,0.0322,0.0099,-0.791,0.4591,0.0337,0.04894857108592987
