device,modulation,rep,cfo_hz,dc_i,dc_q,dc_magnitude,amp_mean,amp_std,amp_skew,amp_kurt,rms,amp_max
DEV01,BPSK,R1,-649.1878,-0.0001,0.0001,0.0001,0.0289,0.0131,-0.551,-0.7835,0.0317,0.04996557533740997
DEV01,BPSK,R2,225.0955,0.0001,-0.0,0.0001,0.0311,0.0116,-0.4227,-1.0554,0.0332,0.04953332245349884
DEV01,BPSK,R3,-377.5241,-0.0003,-0.0003,0.0004,0.0302,0.0127,-0.318,-0.6037,0.0328,0.05243908241391182
DEV01,BPSK,R4,-1348.2513,0.0001,0.0,0.0001,0.0296,0.0137,-0.3701,-0.8347,0.0326,0.05100412294268608
DEV01,BPSK,R5,107.6515,-0.0002,-0.0002,0.0003,0.0313,0.0124,-0.3768,-0.9969,0.0337,0.04970729351043701
DEV01,GFSK,R1,-9936.5605,0.0,0.0003,0.0003,0.0369,0.0008,0.2091,-0.6813,0.0369,0.0396791473031044
DEV01,GFSK,R2,911.7458,-0.0001,0.0003,0.0003,0.0361,0.0004,-0.0035,-0.0584,0.0361,0.037966057658195496
DEV01,GFSK,R3,22846.9473,-0.0,-0.0001,0.0001,0.0367,0.0007,0.2348,-0.7099,0.0367,0.03922753408551216
DEV01,GFSK,R4,-8491.5586,-0.0001,0.0001,0.0002,0.0362,0.0007,0.2366,-0.7834,0.0362,0.03875962644815445
DEV01,GFSK,R5,1295.5453,-0.0001,-0.0002,0.0002,0.0354,0.0004,-1.1967,84.4517,0.0354,0.0389707051217556
DEV01,OOK,R1,586.5587,0.0001,-0.0,0.0001,0.0008,0.0003,0.1861,-0.1672,0.0009,0.0024204079527407885
DEV01,OOK,R2,543.188,0.0002,0.0001,0.0002,0.0009,0.0004,0.2161,-0.2024,0.0009,0.002625300781801343
DEV01,OOK,R3,472.2637,-0.0002,-0.0001,0.0002,0.0009,0.0004,0.2073,-0.2179,0.0009,0.0025332195218652487
DEV01,OOK,R4,634.0783,0.0001,-0.0001,0.0001,0.0009,0.0003,0.1909,-0.1745,0.0009,0.0024704912211745977
DEV01,OOK,R5,486.7153,0.0,0.0001,0.0001,0.0009,0.0004,0.197,-0.1839,0.001,0.0027490376960486174
DEV01,QPSK,R1,41516.207,0.0001,-0.0001,0.0002,0.0343,0.0091,-1.2249,1.179,0.0355,0.04590867459774017
DEV01,QPSK,R2,-38563.793,0.0001,-0.0,0.0001,0.0342,0.0087,-1.1503,1.2711,0.0353,0.04751778766512871
DEV01,QPSK,R3,-51449.3125,0.0002,0.0,0.0002,0.0341,0.0103,-1.3156,1.8796,0.0356,0.05040415748953819
DEV01,QPSK,R4,-271.6648,-0.0001,0.0,0.0001,0.0336,0.0112,-0.8853,-0.1025,0.0354,0.04932352527976036
DEV01,QPSK,R5,49639.4297,-0.0001,-0.0002,0.0002,0.0338,0.01,-1.2031,1.1563,0.0352,0.048690006136894226
DEV02,BPSK,R1,147.6366,0.0,0.0002,0.0002,0.0306,0.0139,-0.3194,-0.9007,0.0336,0.05301908031105995
